"X1","Kingdom","Phylum","Class","Order","Family","Genus","Species","spore","temp"
"ASV4337","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter",NA,NA,NA
"ASV4343","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum",NA,NA,NA
"ASV4345","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalicoccus","pleomorphus",NA,NA
"ASV4346","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","colihominis",NA,NA
"ASV4349","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",NA,NA,NA
"ASV4353","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","bauzanensis",NA,NA
"ASV4355","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca",NA,NA,NA
"ASV4365","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Salinispora",NA,NA,NA
"ASV4366","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","stomatis",NA,NA
"ASV4370","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter",NA,NA,NA
"ASV4379","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NC2004_group",NA,NA,NA
"ASV4384","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Pleomorphomonas",NA,NA,NA
"ASV4385","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","nanhaiensis",NA,NA
"ASV4386","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","montanum",NA,NA
"ASV4403","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megamonas",NA,NA,NA
"ASV4404","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","marine_group","metagenome",NA,NA
