"X1","Kingdom","Phylum","Class","Order","Family","Genus","Species","spore","temp"
"ASV2733","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA,NA,NA
"ASV2734","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA,NA,NA,NA
"ASV2735","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","AllorhizobiumNeorhizobiumPararhizobiumRhizobium",NA,NA,NA
"ASV2736","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,NA,NA
"ASV2737","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA,NA,NA
"ASV2738","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA,NA,NA
"ASV2739","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermatophilaceae",NA,NA,NA,NA
"ASV2740","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,NA,NA
"ASV2741","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA,NA
"ASV2742","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA,NA,NA
"ASV2743","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA,NA,NA
"ASV2744","Bacteria",NA,NA,NA,NA,NA,NA,NA,NA
"ASV2745","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","RuminococcaceaeUCG010",NA,NA,NA
"ASV2746","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,NA,NA
"ASV2747","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tepidimonas","taiwanensis",NA,NA
"ASV2748","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4lineage",NA,NA,NA
"ASV2749","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA,NA,NA,NA
"ASV2750","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,NA,NA
"ASV2751","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans",NA,NA,NA
"ASV2752","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium",NA,NA,NA
"ASV2753","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,NA,NA
"ASV2754","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Bhargavaea",NA,NA,NA
"ASV2755","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA,NA,NA
"ASV2756","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pusillimonas",NA,NA,NA
"ASV2757","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales",NA,NA,NA,NA,NA
"ASV2758","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum",NA,NA,NA
"ASV2759","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Thiopseudomonas",NA,NA,NA
"ASV2760","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,NA
"ASV2761","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,NA,NA
"ASV2762","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_Incertae_Sedis","Unknown_Family","CENA359",NA,NA,NA
"ASV2763","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA,NA,NA
